date,open,high,low,close,adjusted_close,volume,daily_return,volatility_7d,volatility_30d,ma_7,ma_30,ma_90,intraday_range,volume_change,rsi_14,candle_body,direction
2021-04-21,168.08999633789062,170.32000732421875,164.1199951171875,167.07000732421875,167.07000732421875,3878600,-0.014743173273679133,0.016824384950817013,0.029537878253339714,174.23428780691964,185.04666748046876,177.96811150444879,6.20001220703125,-0.15221857923497273,22.70465283914433,1.019989013671875,0
2021-04-22,168.49000549316406,176.9199981689453,168.42999267578125,170.7100067138672,170.7100067138672,3856500,0.021787270186590657,0.019520085590550053,0.029854369402743424,173.20000348772322,184.61066792805988,178.25700039333768,8.490005493164062,-0.005697932243593051,28.915057217779918,2.220001220703125,1
2021-04-23,172.91900634765625,178.25,172.0,174.25,174.25,3329900,0.02073688212118885,0.021823780166520056,0.026312126228220493,172.8885759626116,183.82333475748698,178.64588928222656,6.25,-0.1365486840399326,35.72082120148076,1.33099365234375,1
2021-04-26,175.2100067138672,176.031005859375,171.07000732421875,174.8800048828125,174.8800048828125,2549400,0.0036155230003587224,0.02179563430596064,0.024707771175872487,172.8214329310826,182.76133473714194,179.1445560031467,4.96099853515625,-0.2343914231658608,31.456530882560585,0.3300018310546875,0
2021-04-27,176.1649932861328,179.61000061035156,174.8000030517578,177.94000244140625,177.94000244140625,2883000,0.017497698268273965,0.02157451438923304,0.024761900391637465,172.71429007393974,181.69300130208333,179.73500044080947,4.80999755859375,0.13085431866321495,47.04316502618632,1.7750091552734375,1
2021-04-28,174.43699645996094,181.6699981689453,173.3509979248047,180.0,180.0,2409700,0.011576922166627979,0.019384910880838026,0.023602739378687877,173.4885755266462,181.0260014851888,180.20177815755207,8.319000244140625,-0.16416926812348254,49.74748469409599,5.5630035400390625,1
2021-04-29,182.75,183.22000122070312,173.35000610351562,177.67999267578125,177.67999267578125,3116000,-0.012888929578993014,0.015373233208292971,0.023588584125916086,174.6471448625837,180.2366678873698,180.5421113755968,9.8699951171875,0.2931070257708428,47.55900097414027,5.07000732421875,0
2021-04-30,173.00399780273438,176.4499969482422,172.00999450683594,172.7100067138672,172.7100067138672,3580000,-0.027971556544258536,0.018876372946468836,0.022473520225953406,175.4528590611049,179.61200154622395,180.7133336385091,4.44000244140625,0.1489088575096278,45.18348284939902,0.2939910888671875,0
2021-05-03,173.19000244140625,173.44000244140625,167.8000030517578,168.11000061035156,168.11000061035156,3149700,-0.026634276675911228,0.02046513469707551,0.022586440668829033,175.08142961774553,178.73600158691406,180.76988915337458,5.6399993896484375,-0.120195530726257,38.39074765231255,5.0800018310546875,0
2021-05-04,167.01499938964844,169.0399932861328,161.9600067138672,168.89999389648438,168.89999389648438,4658000,0.004699264072717924,0.018274712841244416,0.022606630617785138,174.317143031529,177.86600138346355,180.83333350287543,7.079986572265625,0.47887100358764334,40.96037767093156,1.8849945068359375,1
2021-05-05,169.3000030517578,170.17999267578125,162.1199951171875,162.3300018310547,162.3300018310547,3590100,-0.03889871108850551,0.021908645345097767,0.02253107462745687,172.52428545270647,177.03900146484375,180.88133358425563,8.05999755859375,-0.22926148561614423,36.19005847479984,6.970001220703125,0
2021-05-06,161.91000366210938,162.10499572753906,150.6999969482422,153.63999938964844,153.63999938964844,8529000,-0.05353294119007268,0.023255817534756165,0.023148417603401486,169.0528564453125,176.19866790771485,180.86800028483074,11.404998779296875,1.3756998412300492,26.138297776471575,8.270004272460938,0
2021-05-07,156.5,157.0540008544922,148.77999877929688,151.2100067138672,151.2100067138672,7134000,-0.01581614609108739,0.01883982881006467,0.023160689906234443,164.94000026157923,175.36700134277345,180.8925559149848,8.274002075195312,-0.16355962011959202,27.002548438653378,5.2899932861328125,0
2021-05-10,150.28399658203125,150.5,144.52000427246094,146.72999572753906,146.72999572753906,5827200,-0.029627741468232327,0.018180892128775075,0.02358556188191359,160.51857212611608,174.44466807047527,180.8562225341797,5.9799957275390625,-0.18317914213624897,27.28717275000311,3.5540008544921875,0
2021-05-11,139.10000610351562,144.35000610351562,136.00999450683594,142.72999572753906,142.72999572753906,8257400,-0.027260956290270366,0.018175412901276996,0.021759293960894585,156.2357134137835,173.11900126139324,180.79288923475477,8.340011596679688,0.417044206479956,26.49669820091806,3.6299896240234375,1
